_id,Time_Stamp,Device_ID,AC1,Current,voltage,Power_Factor,Real_Power,room_temp,Compressor_temp,External_temp,Current_mode_of_AC,Auto,Swing_dir,timing_clock_of_ac,AC_fan,AC_brand,Humidity,_updated,_created,_etag,_links,parent,collection
ObjectId(5db05da7620444f3d7c9e14d),2019-10-23T13:43:37.500216+00:00,011019,,0.15,242.09,0.12,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:03:19.000Z,2019-10-23T14:03:19.000Z,24c25fb9ef18b5ead45dcdb10d456ec4b23046d7,,,
ObjectId(5db05e29620444f3d7c9e14e),2019-10-23T13:45:37.726077+00:00,011019,,0.15,241.44,0.09,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:05:29.000Z,2019-10-23T14:05:29.000Z,703b3a54142612b5bd2cea2db47e12ca17600613,,,
ObjectId(5db05eab620444f3d7c9e14f),2019-10-23T13:47:38.119069+00:00,011019,,0.15,242.37,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:07:39.000Z,2019-10-23T14:07:39.000Z,0698d5604d9033b4457ee84827cd588dfd826290,,,
ObjectId(5db05f2d620444f3d7c9e150),2019-10-23T13:49:38.548028+00:00,011019,,0.14,239.67,0.18,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:09:49.000Z,2019-10-23T14:09:49.000Z,fda31a4ed6b8091c6d50e6b9c178b9abced3c0ac,,,
ObjectId(5db0674c620444f3d7c9e151),2019-10-23T13:51:38.931362+00:00,011019,,0.16,241.47,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:44:28.000Z,2019-10-23T14:44:28.000Z,3f0c64438a49bdf3c761b3d1dd49e965b46bcd79,,,
ObjectId(5db067cf620444f3d7c9e152),2019-10-23T13:53:39.385453+00:00,011019,,0.15,242.51,0.04,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:46:39.000Z,2019-10-23T14:46:39.000Z,1b4d86e510d2124b69b97763c4986c486cfbd0e4,,,
ObjectId(5db06851620444f3d7c9e153),2019-10-23T13:55:39.794702+00:00,011019,,0.16,242.42,0.03,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:48:49.000Z,2019-10-23T14:48:49.000Z,e9e74e084e58cca5a8befe8661e4e68b4f1b93ed,,,
ObjectId(5db068d3620444f3d7c9e154),2019-10-23T13:57:40.179359+00:00,011019,,0.14,242.88,0.16,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:50:59.000Z,2019-10-23T14:50:59.000Z,15ffe7b85ae3e9b1cd64a02304372a5365796415,,,
ObjectId(5db06956620444f3d7c9e155),2019-10-23T13:59:40.896544+00:00,011019,,0.19,243.48,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:53:10.000Z,2019-10-23T14:53:10.000Z,7f465cd45203d322126476ba0708107cecbf1562,,,
ObjectId(5db069d8620444f3d7c9e156),2019-10-23T14:01:41.121154+00:00,011019,,0.15,241.24,0.03,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:55:20.000Z,2019-10-23T14:55:20.000Z,83dffc81ed779cd70abdfabcf86102c1ddd990c6,,,
